Категорія,Коротка назва,Coin,Над-категорія
Сутності: Фунціонал сутностей,⚔️ Стріляє тричі підряд,🟤,Сутності (entities)
Сутності: Фунціонал сутностей,⚔️ Стріляє дрібʼю (splash-постріл),🟤,Сутності (entities)
Сутності: Фунціонал сутностей,⚔️ Стріляє з затримкою на відновлення (Cool down),🟤,Сутності (entities)
Сутності: Параметри сутностей,⚔️ Зброя: Рівень зброї,🟤,Сутності (entities)
Сутності: Параметри сутностей,💛 Життя: Кількість здоровʼя (HP),🟤,Сутності (entities)
Сутності: Параметри сутностей,⚔️ Зброя: Сила ураження (Damage),🟤,Сутності (entities)
Сутності: Параметри сутностей,⚔️ Зброя: Інтервал пострілів (gap),🟤,Сутності (entities)
Сутності: Параметри сутностей,"⚔️ Зброя: Затримка (delay, cool down)",🟤,Сутності (entities)
Сутності: Фунціонал сутностей,➕💛 Додає гравцю HP,🟤,Сутності (entities)
Інтерфейс: Результати гри,📊 Score,🟤,Інтерфейс
Інтерфейс: Графічні таски,Відображення інформації,🟤,Інтерфейс
Інтерфейс: Відображення інфи,Скільки залишилось ворогів,🟤,Інтерфейс
Інтерфейс: Відображення інфи,💛 HP,🟤,Інтерфейс
Інтерфейс: Відображення інфи,📊 Score,🟤,Інтерфейс
Інтерфейс: Відображення інфи,⚔️ Обрана зброя,🟤,Інтерфейс
Інтерфейс: Відображення інфи,Рівень (на якому зараз),🟤,Інтерфейс
Функціонал гри,Більш складний розрахунок score,🟤,Функціонал гри
Функціонал гри,Більш складний розрахунок параметрів за рівнем сутності (level),🟤,Функціонал гри
Функціонал: Збереження,💾 Збереження гри при проходженні рівня,🟤,Функціонал гри
Функціонал гри,Upgrade зброї після проходженні рівня,🟤,Функціонал гри
Функціонал гри,Більш складний розрахунок spawn для противників (залежності від рівня),🟤,Функціонал гри
Функціонал гри,Safe-зона для spawn’у противників,🟤,Функціонал гри
Інтерфейс: Віконця або блоки,🛒 Upgrade зброї після проходженні рівня,🟤,Інтерфейс
Інтерфейс: Віконця або блоки,❓ Меню після проходження рівня (продовжити чи вийти),🟤,Інтерфейс
Інтерфейс: Графічні таски,Переміщення карти при переміщенні гравця,🟤,Інтерфейс
Інтерфейс: Віконця або блоки,🏳️ Меню при програші (нова гра та вихід),🟤,Інтерфейс
Python: Структура кода,Клас чи модуль для налаштувань,🟢,Python
