name,description,coins,coin_type,points,category,supercategory,subcategory,games,report,color,author,new,used,source
📽️ Демка програми GUI (функціонал),,1,,,Відео-демки,,,,,,Віталій Ляпота,,0,tasks
📽️ Демка по коду третьої лаби,,1,,,Відео-демки,,,,,,Віталій Ляпота,,0,tasks
Макрос для універсального ігрового фреймворку,Розробити макрос для швидкого й зручного створення базових абстракцій гри,4,,,Реалізація,,,,,,Костянтин Щербина,,0,tasks
Оптимізованний пошук еніті за допомогою кешування їх у “чанках”,"Реалізувати оптимізований пошук ентіті за їх координатами, використовуючи кешування “чанками”",2,,,Реалізація,,,,,,Костянтин Щербина,,0,tasks
Звіт у gitbook,описати всі методи та функції гри у гітбук для прискорення захисту,4,,,Реалізація,,,,,,Микола Білоус,,0,tasks
— (player),,0,,,Взаємодія,,,,,⬛️,,,17,props
— (только визуальный объект),,0,,,Взаємодія,,,,,⬛️,,,6,props
✨ исчезает,"Объект исчезает, когда на него наступает игрок",1,,,Взаємодія,,,,,⬛️,,,43,props
⛔️ непроходим,"Например, стандартная обычная стена (непроходимое препятствие)",1,,,Взаємодія,,,,,⬛️,,,48,props
🎉 victory,Собственно это основное назначение клетки финиша :),1,,,Взаємодія,,,,,🟦,,,28,props
on start,Створюється на початку гри,0,,,Коли зʼявляється,,,,,⬛️,,,30,props
через время,,1,,,Коли зʼявляється,,,,,🟦,,,15,props
при взрыве,,1,,,Коли зʼявляється,,,💣 8: Bomberman,,🟦,,,10,props
использует игрок,,1,,,Коли зʼявляється,,,,,🟦,,,20,props
когда собрали все монетки,,1,,,Коли зʼявляється,,,,,🟦,,,6,props
don’t move,не рухається,0,,,Як рухається,,,,,⬛️,,,13,props
🖐 управляется человеком,"Например, с помощью курсорных клавиш",1,,,Як рухається,,,,,,,,48,props
↗️ в т.ч. по диагонали,"Возможность для игрока двигаться по диагонали\n💡 Для этого можно использовать либо цифровую клавиатуру, либо буквенные клавиши, либо вообще дать возможность пользователю самому настраивать клавиши",2,,,Як рухається,,,🏂 7: Inertia,,🟦,,,6,props
⏬ падает (гравитация),"Падение игрока вниз, если под ним нет опоры\n(для базового выполнения задания достаточно, чтобы игрок мгновенно оказывался внизу)\nTODO: и другие элементы могут падать",2,,,Як рухається,,,💰 4: Lode Runner,,🟦,,,8,props
🏄‍♂️ инерция неуправляемая,"Автоматическое движение игрока в определённом направлении (без возможности его изменить), пока он не встретится с преградой, точкой остановки и прочими игровыми элементами",0,,,Як рухається,,,🏂 7: Inertia,,🟦,,,7,props
😃 инерция управляемая,"Автоматическое движение игрока в определённом направлении, но с возможность изменить направление движения в любой момент",1,,,Як рухається,,,👻 9: Pac-Man,,🟦,,,3,props
🌀 анимация инерции (сразу в конечную точку),Передвижение сразу в конечную точку.,1,,,Як рухається,,,,,🟦,,,3,props
🌀 анимация инерции,Присутствует анимация передвижения.,2,,,Як рухається,,,,,🟦,,,3,props
⏩ можно толкать,"Например, особый “перемещаемый” игроком вид препятствий (камни)",2,,,Як рухається,,,💎 2: Boulder Dash,,🟦,,,2,props
прямолинейное движение,...,1,,,Як рухається,,,,,🟦,,,11,props
двигается по шаблону,,1,,,Як рухається,,,,,,,,7,props
изменяет свой вид в зависимости от направления движения,"Например, при движении вправо - картинка или символ игрока смотрит вправо, а при движении влево - смотрит влево.",1,,,Особливості,,,,,,,,6,props
наивный противник,"Противник двигается навстречу игроку, но при этом не учитывает наличие препятствий (то есть может упереться в преграду и “тупить”)",2,,,Як рухається,,,,,,,,8,props
—,Немає ніяких особливостей,0,,,Особливості,,,,,⬛️,,,7,props
⛏ копает яму,,1,,,Особливості,,,💰 4: Lode Runner,,🟦,,,5,props
🗿 толкает камни,TOFIX: Хм.. Это же фича самого камня?..,,,,Особливості,,,💎 2: Boulder Dash,,🟦,,,3,props
🦠 размножается,,2,,,Особливості,,,"🧿 3: New Ball Game,💎 2: Boulder Dash",,🟦,,,2,props
2️⃣ второй игрок,"Для случаев, когда игра на двоих (либо по сети, либо за одним компом)",1,,,Особливості,,,"💥 5: Battle City,💰 4: Lode Runner",,🟦,,,3,props
🧨 определяет соседние мины,"Возможность для игрока узнавать, сколько рядом находится скрытых мин",1,,,Особливості,,,🧨 6: Mined-Out,,🟦,,,2,props
