Название,Монеты,Категория,Описание задания,"Игры, давшие эту идею",use,Баллы,new?,Тип задания,Title
Уменьшение силы,1,Анти-бонус,"В зоне действия этого элемента понижается урон, наносимый игроком",,0,1,true,Элемент,🧩 ➖ Уменьшение силы
Редкий алмаз,1,Бонус,"Отличается от обычного тем, что дает больше бонусных баллов игроку",💎 2: Boulder Dash,0,1,true,Элемент,🧩 ➕ Редкий алмаз
Пустая клетка,1,Движение,"Клетка, которая появляется на том месте, где игрок откопал клетку с песком",💎 2: Boulder Dash,6,1,true,Элемент,🧩 ➡️ Пустая клетка
Клетка для текстового символа,1,Игрок,"Клетка, в которой можно отобразить текстовый символ",Почти во всех играх,1,1,true,Элемент,🧩 🏃🏻‍♂️ Клетка для текстового символа
Уникальные способности классов игроков,1,Фичи,"Каждый класс имеют свою уникальную особенность.\nНапример, медик - способность лечить себя и других игроков, штурмовик имеет улучшенную броню и т.д.",,0,1,true,Свойство,🌀 ⭐️ Уникальные способности классов игроков
Летательные аппараты,1,Фичи,"В игре присутствуют летательные аппараты, которые позволяют игроку перемещается по воздуху, например, самолет, вертолет и т.д.",,0,1,true,Элемент,🧩 ⭐️ Летательные аппараты
Акваланг,1,Фичи,"Позволяет преодолевать водные препятствия, погружаясь под воду и становясь невидимым для противников с поверхности",,0,1,true,Элемент,🧩 ⭐️ Акваланг
Пираньи,1,Фичи,Живут в воде. Если игрок с аквалнгом попадает в клетку с пираньями - у него уменьшаются постепенно жизни,,0,1,true,Элемент,🧩 ⭐️ Пираньи
Использование пакетов NuGet в проекте,1,Основа,Подключение и применение пакетов NuGet в проекте,Почти во всех играх,3,1,true,Основа,🔘 ✔️ Использование пакетов NuGet в проекте
Применение многоуровневой архитектуры приложения,3,Основа,Создание архитектуры приложения из нескольких слоев,Почти во всех играх,1,3,true,Основа,🔘 ✔️ Применение многоуровневой архитектуры приложения
Парашут,1,Бонус,"При использовании позволяет игроку падать плавно, предотвращает от получения урона при падении",,0,1,true,Элемент,🧩 ➕ Парашут
Урон при падении,1,Анти-бонус,"При падении с большой высоты игрок получает урон, количество его жизней уменьшается",,0,1,true,Свойство,🌀 ➖ Урон при падении
